"ID","together","age","years","divorced"
956,"no",19,6,TRUE
957,"yes",22,20,FALSE
958,"yes",24,4,TRUE
959,"yes",19,7,TRUE
960,"no",26,13,FALSE
961,"yes",21,3,TRUE
962,"no",17,4,TRUE
963,"yes",24,8,FALSE
964,"yes",21,20,FALSE
965,"yes",19,4,FALSE
966,"yes",20,3,TRUE
967,"yes",22,15,FALSE
968,"no",18,7,TRUE
969,"no",17,4,TRUE
970,"no",22,1,TRUE
971,"yes",21,5,TRUE
972,"yes",23,1,TRUE
973,"yes",25,2,FALSE
974,"yes",22,5,TRUE
975,"yes",35,3,FALSE
976,"no",29,7,FALSE
977,"yes",21,10,FALSE
978,"yes",28,1,FALSE
979,"yes",19,5,TRUE
980,"no",17,10,FALSE
981,"no",20,10,TRUE
982,"yes",27,7,FALSE
983,"no",18,2,TRUE
984,"yes",31,12,FALSE
985,"yes",18,17,TRUE
986,"yes",31,10,TRUE
987,"yes",28,11,FALSE
988,"yes",21,4,FALSE
989,"yes",19,8,TRUE
990,"yes",22,5,TRUE
991,"no",22,15,FALSE
992,"no",17,3,TRUE
993,"yes",25,8,TRUE
994,"yes",27,5,TRUE
995,"no",30,15,FALSE
996,"no",28,1,TRUE
997,"yes",26,7,FALSE
998,"no",19,6,TRUE
999,"yes",20,8,FALSE
1000,"yes",16,11,FALSE
1001,"yes",22,2,TRUE
1002,"yes",23,4,FALSE
1003,"yes",27,14,FALSE
1004,"yes",29,6,FALSE
1005,"no",19,6,TRUE
1006,"yes",26,12,FALSE
1007,"yes",26,4,FALSE
1008,"yes",23,10,FALSE
1009,"yes",17,5,TRUE
1010,"yes",26,10,FALSE
1011,"no",17,1,TRUE
1012,"yes",21,16,FALSE
1013,"yes",23,1,FALSE
1014,"yes",27,6,TRUE
1015,"yes",21,4,FALSE
1016,"no",21,21,TRUE
1017,"yes",30,2,FALSE
1018,"yes",26,12,FALSE
1019,"no",22,3,TRUE
1020,"no",20,6,FALSE
1021,"yes",37,1,FALSE
1022,"yes",29,12,FALSE
1023,"yes",30,3,TRUE
1024,"yes",24,2,TRUE
1025,"yes",17,17,TRUE
1026,"no",25,14,TRUE
1027,"no",18,3,TRUE
1029,"yes",17,18,TRUE
1030,"yes",28,6,FALSE
1031,"yes",38,5,FALSE
1032,"no",25,10,FALSE
1033,"yes",23,1,FALSE
1034,"no",19,3,TRUE
1035,"yes",25,6,TRUE
1036,"yes",17,9,TRUE
1037,"yes",23,5,FALSE
1038,"yes",19,5,TRUE
1039,"no",16,5,TRUE
1040,"yes",29,1,TRUE
1041,"no",19,21,TRUE
1042,"yes",20,8,TRUE
1043,"yes",26,3,TRUE
1044,"yes",25,6,TRUE
1045,"yes",20,9,TRUE
1046,"yes",20,11,FALSE
1047,"yes",21,8,TRUE
1048,"no",18,17,TRUE
1049,"no",37,7,FALSE
1050,"no",43,1,FALSE
1051,"yes",35,3,FALSE
1052,"no",18,9,TRUE
1053,"yes",23,6,TRUE
1054,"no",24,3,TRUE
1055,"no",17,6,TRUE
1056,"yes",18,13,TRUE
1057,"yes",17,9,TRUE
1058,"yes",20,4,FALSE
1059,"no",18,2,TRUE
1060,"no",18,15,TRUE
1061,"yes",28,10,FALSE
1062,"yes",30,6,FALSE
1063,"yes",29,8,FALSE
1064,"no",24,5,TRUE
1065,"no",21,5,FALSE
1066,"no",21,7,TRUE
1067,"no",30,11,TRUE
1068,"no",18,7,TRUE
1069,"yes",18,16,TRUE
1070,"no",26,15,TRUE
1071,"yes",22,3,TRUE
1072,"yes",30,9,FALSE
1073,"yes",21,4,TRUE
1074,"no",18,11,TRUE
1075,"yes",19,11,FALSE
1076,"yes",22,10,TRUE
1077,"yes",28,7,FALSE
1078,"yes",28,14,FALSE
1079,"yes",26,12,FALSE
1080,"yes",24,16,FALSE
1081,"yes",16,15,TRUE
1082,"yes",18,5,TRUE
1083,"no",18,4,TRUE
1084,"yes",24,16,FALSE
1085,"yes",21,4,FALSE
1086,"no",16,15,FALSE
1087,"yes",20,12,FALSE
1088,"yes",20,4,TRUE
1089,"yes",33,12,FALSE
1090,"yes",23,4,FALSE
1091,"yes",37,8,FALSE
1092,"yes",19,3,TRUE
1093,"no",20,10,TRUE
1094,"no",19,9,TRUE
1095,"yes",25,12,FALSE
1096,"yes",29,1,TRUE
1097,"yes",24,5,FALSE
1098,"yes",34,7,FALSE
1099,"yes",34,5,FALSE
1100,"no",18,17,FALSE
1101,"no",20,11,TRUE
1102,"no",21,9,TRUE
1103,"no",23,6,TRUE
1104,"no",18,5,FALSE
1105,"no",34,4,FALSE
1106,"yes",19,6,FALSE
1107,"yes",25,7,TRUE
1108,"yes",20,5,TRUE
1109,"yes",22,3,TRUE
1110,"no",18,12,TRUE
1111,"yes",19,12,FALSE
1112,"no",25,6,TRUE
1113,"yes",19,2,TRUE
1114,"yes",30,7,TRUE
1115,"no",21,1,TRUE
1116,"yes",18,9,FALSE
1117,"yes",23,1,FALSE
1118,"no",24,2,FALSE
1119,"yes",32,2,TRUE
1120,"no",18,15,TRUE
1121,"yes",23,2,FALSE
1122,"yes",20,4,TRUE
1123,"yes",23,3,TRUE
1124,"yes",20,14,FALSE
1125,"yes",19,7,TRUE
1126,"yes",18,17,TRUE
1127,"yes",18,19,TRUE
1128,"yes",22,12,FALSE
1129,"no",17,13,TRUE
1130,"no",20,10,TRUE
1131,"yes",17,19,FALSE
1132,"yes",20,2,TRUE
1133,"no",15,10,TRUE
1134,"yes",20,9,TRUE
1135,"yes",39,2,FALSE
1136,"no",19,1,TRUE
1137,"no",22,6,TRUE
1138,"no",20,2,TRUE
1139,"yes",31,10,TRUE
1140,"yes",31,5,FALSE
1141,"yes",25,5,FALSE
1142,"yes",28,3,TRUE
1143,"yes",35,6,FALSE
1144,"no",21,8,TRUE
1145,"no",23,6,TRUE
1146,"yes",22,2,TRUE
1147,"yes",30,4,FALSE
1148,"yes",20,5,TRUE
1149,"no",17,8,FALSE
1150,"yes",37,4,FALSE
1151,"no",21,4,TRUE
1152,"no",19,9,TRUE
1153,"yes",23,11,FALSE
1154,"no",26,13,TRUE
1155,"no",20,24,FALSE
1156,"no",16,5,TRUE
1157,"yes",27,7,TRUE
1158,"yes",24,5,FALSE
1159,"yes",19,14,FALSE
1160,"yes",19,5,TRUE
1161,"yes",22,4,TRUE
1162,"no",22,7,TRUE
1163,"yes",18,20,TRUE
1164,"yes",23,9,TRUE
1165,"yes",21,6,TRUE
1166,"yes",23,8,TRUE
1167,"no",18,1,TRUE
1168,"yes",22,6,FALSE
1169,"no",17,4,TRUE
1170,"yes",21,11,TRUE
1171,"yes",28,4,FALSE
1172,"yes",25,2,FALSE
1173,"no",19,6,TRUE
1174,"no",21,6,TRUE
1175,"yes",32,5,FALSE
1176,"yes",26,5,FALSE
1177,"yes",22,5,FALSE
1178,"yes",20,5,FALSE
1179,"yes",23,4,FALSE
1180,"yes",31,3,TRUE
1181,"no",24,2,FALSE
1182,"no",18,1,TRUE
1183,"yes",25,6,FALSE
1184,"yes",16,11,TRUE
1185,"yes",20,6,FALSE
1186,"yes",19,3,TRUE
1187,"yes",23,4,TRUE
1188,"yes",24,18,FALSE
1189,"yes",29,4,FALSE
1190,"no",18,23,TRUE
1191,"yes",18,4,TRUE
1192,"yes",20,9,TRUE
1193,"yes",24,5,FALSE
1194,"yes",24,5,FALSE
1195,"yes",19,12,TRUE
1196,"yes",28,3,FALSE
1197,"yes",27,10,FALSE
1198,"no",23,10,TRUE
1199,"no",23,9,FALSE
1200,"yes",29,7,TRUE
1201,"yes",23,12,TRUE
1202,"yes",24,3,TRUE
1203,"yes",23,9,FALSE
1204,"yes",23,4,FALSE
1205,"yes",19,18,FALSE
1206,"no",24,15,FALSE
1207,"yes",23,8,TRUE
1208,"yes",26,7,FALSE
1209,"no",18,3,TRUE
1211,"yes",32,8,FALSE
1212,"yes",18,6,TRUE
1213,"yes",23,7,TRUE
1214,"yes",30,8,FALSE
1215,"yes",21,3,TRUE
1216,"no",23,15,FALSE
1217,"yes",21,16,TRUE
1218,"yes",22,9,FALSE
1219,"yes",26,18,FALSE
1220,"yes",23,8,FALSE
1221,"no",18,6,TRUE
1222,"yes",23,12,TRUE
1223,"no",18,6,FALSE
1224,"yes",21,6,TRUE
1225,"yes",23,3,TRUE
1226,"yes",24,9,TRUE
1227,"yes",27,5,FALSE
1228,"no",19,6,FALSE
1229,"no",31,7,FALSE
1230,"yes",20,1,TRUE
1231,"yes",22,11,FALSE
1232,"yes",29,7,FALSE
1233,"yes",18,7,TRUE
1234,"yes",19,1,TRUE
1235,"yes",19,6,FALSE
1236,"yes",21,7,FALSE
1237,"no",42,3,FALSE
1238,"yes",24,1,TRUE
1239,"yes",36,5,FALSE
1240,"yes",18,4,FALSE
