"ID","together","age","years","divorced"
181,"yes",28,7,FALSE
182,"yes",16,2,TRUE
183,"no",20,6,FALSE
184,"yes",28,4,FALSE
185,"yes",19,3,TRUE
186,"no",21,5,TRUE
187,"yes",20,10,FALSE
188,"yes",23,5,TRUE
189,"yes",26,2,FALSE
190,"no",25,5,TRUE
191,"yes",21,5,TRUE
192,"yes",23,3,TRUE
193,"yes",20,11,FALSE
194,"yes",30,7,FALSE
195,"yes",18,7,TRUE
196,"no",29,12,FALSE
197,"yes",25,7,TRUE
198,"no",18,13,TRUE
199,"yes",22,12,TRUE
200,"yes",20,18,TRUE
201,"yes",38,1,FALSE
202,"no",20,8,TRUE
203,"yes",23,4,FALSE
204,"yes",21,2,TRUE
205,"yes",20,2,FALSE
206,"no",26,1,TRUE
207,"no",19,21,TRUE
208,"yes",32,10,FALSE
209,"yes",19,3,FALSE
210,"no",20,7,TRUE
211,"yes",18,12,TRUE
212,"yes",21,6,TRUE
213,"yes",23,16,FALSE
214,"yes",17,9,TRUE
215,"no",26,5,TRUE
216,"yes",26,7,TRUE
217,"yes",19,11,TRUE
218,"yes",32,6,FALSE
219,"yes",23,10,FALSE
220,"yes",21,12,TRUE
221,"yes",20,9,TRUE
222,"yes",18,1,TRUE
223,"yes",28,8,TRUE
224,"no",28,15,TRUE
225,"yes",20,5,TRUE
226,"yes",34,6,FALSE
227,"yes",33,4,FALSE
228,"yes",19,5,TRUE
229,"no",28,7,TRUE
230,"no",16,3,TRUE
231,"yes",29,5,FALSE
232,"yes",29,3,TRUE
233,"yes",21,17,FALSE
234,"no",22,5,TRUE
235,"yes",19,16,TRUE
236,"yes",23,5,FALSE
237,"yes",19,4,TRUE
238,"yes",24,8,FALSE
239,"no",21,15,FALSE
240,"yes",19,26,FALSE
241,"no",23,2,TRUE
242,"yes",25,4,FALSE
243,"yes",28,16,FALSE
244,"no",20,10,TRUE
245,"yes",28,7,FALSE
246,"yes",19,1,TRUE
247,"yes",22,12,TRUE
248,"yes",18,7,TRUE
249,"no",16,15,FALSE
250,"yes",23,14,FALSE
251,"yes",23,1,FALSE
252,"no",21,4,TRUE
253,"no",30,15,FALSE
254,"yes",33,11,FALSE
255,"yes",22,16,FALSE
256,"yes",24,10,TRUE
257,"no",27,4,TRUE
258,"no",18,7,TRUE
259,"yes",19,2,FALSE
260,"yes",22,1,FALSE
261,"yes",32,5,FALSE
263,"yes",18,2,TRUE
264,"no",19,11,FALSE
265,"yes",21,3,TRUE
266,"no",18,3,TRUE
267,"no",17,10,TRUE
268,"yes",21,3,FALSE
269,"yes",24,9,TRUE
270,"no",19,5,TRUE
271,"yes",19,15,TRUE
272,"yes",17,25,FALSE
273,"yes",19,3,TRUE
274,"yes",28,16,FALSE
275,"yes",23,5,FALSE
276,"no",25,2,TRUE
277,"yes",26,17,FALSE
278,"yes",23,1,FALSE
279,"yes",22,14,FALSE
280,"no",17,7,TRUE
281,"yes",24,21,FALSE
282,"no",17,4,TRUE
283,"yes",26,19,FALSE
284,"yes",30,1,FALSE
285,"no",25,16,FALSE
286,"yes",31,7,FALSE
287,"yes",24,17,FALSE
288,"yes",40,1,FALSE
289,"yes",17,8,TRUE
290,"no",25,14,FALSE
291,"yes",20,5,TRUE
292,"yes",19,5,FALSE
293,"yes",24,6,TRUE
294,"yes",21,2,TRUE
295,"yes",24,4,FALSE
296,"no",19,18,FALSE
297,"yes",30,10,FALSE
298,"no",17,6,TRUE
299,"no",20,16,TRUE
300,"yes",26,5,FALSE
301,"yes",34,4,FALSE
302,"yes",23,21,FALSE
303,"yes",22,2,TRUE
304,"yes",35,5,FALSE
305,"yes",19,13,TRUE
306,"no",19,4,TRUE
307,"yes",17,12,FALSE
308,"yes",27,5,FALSE
309,"yes",39,4,FALSE
310,"no",20,2,TRUE
311,"yes",17,25,FALSE
312,"no",18,10,TRUE
313,"yes",28,11,FALSE
314,"yes",26,7,TRUE
315,"yes",15,6,TRUE
316,"yes",24,2,TRUE
317,"yes",19,16,TRUE
318,"yes",23,11,TRUE
319,"yes",32,3,FALSE
320,"no",21,9,FALSE
321,"yes",18,6,TRUE
322,"no",18,9,FALSE
323,"yes",21,5,TRUE
324,"yes",25,6,FALSE
325,"yes",21,12,FALSE
326,"no",17,5,TRUE
327,"no",17,7,TRUE
328,"yes",25,8,FALSE
329,"yes",24,2,TRUE
330,"yes",21,4,TRUE
331,"yes",24,8,TRUE
332,"no",19,13,FALSE
333,"yes",19,6,TRUE
334,"no",39,3,FALSE
335,"yes",21,3,TRUE
336,"yes",24,5,TRUE
337,"yes",26,13,FALSE
338,"yes",19,24,FALSE
339,"no",14,10,TRUE
340,"yes",27,7,FALSE
341,"yes",32,5,FALSE
342,"yes",30,11,FALSE
343,"yes",26,5,FALSE
344,"no",17,3,TRUE
345,"no",19,7,TRUE
346,"no",24,14,FALSE
347,"no",23,17,TRUE
348,"yes",23,5,TRUE
349,"yes",22,11,FALSE
350,"no",22,2,TRUE
351,"yes",20,5,FALSE
352,"yes",21,7,FALSE
353,"no",24,16,TRUE
354,"yes",21,19,FALSE
355,"yes",29,10,FALSE
356,"yes",32,12,FALSE
357,"yes",24,16,FALSE
358,"no",33,2,FALSE
359,"yes",22,7,TRUE
360,"yes",22,1,TRUE
361,"no",19,15,FALSE
362,"yes",34,10,FALSE
363,"yes",22,3,TRUE
364,"yes",18,7,TRUE
365,"yes",25,4,FALSE
366,"yes",20,7,TRUE
367,"no",19,7,TRUE
368,"yes",18,11,FALSE
369,"yes",37,6,FALSE
370,"no",20,8,TRUE
371,"yes",33,3,FALSE
372,"yes",34,4,FALSE
373,"yes",19,2,TRUE
374,"yes",24,6,TRUE
375,"yes",32,6,FALSE
376,"yes",23,7,FALSE
377,"no",19,11,TRUE
378,"yes",19,13,TRUE
379,"no",16,15,FALSE
380,"no",16,19,TRUE
381,"yes",20,3,FALSE
382,"no",23,9,TRUE
383,"yes",27,4,FALSE
384,"yes",16,8,TRUE
385,"yes",28,10,FALSE
386,"yes",22,6,TRUE
387,"yes",25,7,FALSE
388,"yes",28,8,TRUE
389,"yes",24,1,FALSE
390,"yes",22,2,TRUE
391,"yes",19,20,TRUE
392,"yes",19,14,TRUE
393,"yes",23,2,TRUE
394,"yes",29,1,FALSE
395,"no",16,3,TRUE
396,"yes",18,9,FALSE
397,"no",19,16,TRUE
398,"yes",22,5,FALSE
399,"yes",24,4,TRUE
400,"yes",20,6,TRUE
401,"no",19,2,TRUE
402,"no",20,14,TRUE
403,"yes",20,8,FALSE
404,"yes",22,6,FALSE
405,"no",21,1,TRUE
406,"no",26,2,FALSE
407,"no",20,6,TRUE
